protocol,s_IP,s_port,d_IP,d_port,hash,label,o_pck,i_pck,r_o_pck,o_data_p,i_data_p,r_o_dp,o_len,i_len,r_o_len,begin TM,end TM,o_spd_pck,i_spd_pck,o_spd_len,i_spd_len,o_(0),o_(1-100),o_(101-200),o_(201-300),o_(301-400),o_(401-500),o_(501-600),o_(601-700),o_(701-800),o_(801-900),o_(901-1000),o_(1001-1100),o_(1101-1200),o_(1201-1300),o_(>1300),i_(0),i_(1-100),i_(101-200),i_(201-300),i_(301-400),i_(401-500),i_(501-600),i_(601-700),i_(701-800),i_(801-900),i_(901-1000),i_(1001-1100),i_(1101-1200),i_(1201-1300),i_(>1300),
6,31.13.76.8,443,192.168.137.202,50131,1996775291,0,325,176,0.648703,317,16,0.951952,416386,1795,0.995708,1.266,2.382,291.240,157.718,373133.417,1608.542,8,7,5,1,1,2,3,7,3,14,3,2,2,2,295,160,11,0,5,0,0,0,0,0,0,0,0,0,0,0,
6,192.168.137.202,50131,31.13.76.8,443,1384005892,0,176,325,0.351297,16,317,0.048048,1795,416386,0.004292,1.266,2.382,157.718,291.240,1608.542,373133.417,160,11,0,5,0,0,0,0,0,0,0,0,0,0,0,8,7,5,1,1,2,3,7,3,14,3,2,2,2,295,
6,192.168.137.202,50139,31.13.76.8,443,1819142678,0,118,383,0.235529,14,376,0.035897,1973,500916,0.003923,2.129,3.562,82.337,267.247,1376.705,349525.391,104,8,0,6,0,0,0,0,0,0,0,0,0,0,0,7,9,3,3,1,1,1,7,2,19,1,1,1,3,361,
6,31.13.76.8,443,192.168.137.202,50139,3204555745,0,383,118,0.764471,376,14,0.964103,500916,1973,0.996077,2.129,3.562,267.247,82.337,349525.391,1376.705,7,9,3,3,1,1,1,7,2,19,1,1,1,3,361,104,8,0,6,0,0,0,0,0,0,0,0,0,0,0,
6,31.13.76.8,443,192.168.137.202,50126,2593524745,0,346,155,0.690619,334,20,0.943503,433112,3443,0.992113,4.576,7.063,139.112,62.319,174135.893,1384.284,12,10,6,7,1,2,1,3,1,16,2,3,2,2,309,135,9,0,11,0,0,0,0,0,0,0,0,0,0,0,
6,192.168.137.202,50126,31.13.76.8,443,2618739083,0,155,346,0.309381,20,334,0.056497,3443,433112,0.007887,4.576,7.063,62.319,139.112,1384.284,174135.893,135,9,0,11,0,0,0,0,0,0,0,0,0,0,0,12,10,6,7,1,2,1,3,1,16,2,3,2,2,309,
6,31.13.76.14,443,192.168.137.202,49603,1344146500,0,353,148,0.704591,352,10,0.972376,492762,616,0.998751,4.795,7.615,291.934,122.397,407518.818,509.438,1,2,0,2,1,1,0,2,0,10,0,2,2,4,363,138,9,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,192.168.137.202,49603,31.13.76.14,443,1226965207,0,148,353,0.295409,10,352,0.027624,616,492762,0.001249,4.795,7.615,122.397,291.934,509.438,407518.818,138,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,2,0,10,0,2,2,4,363,
6,31.13.76.8,443,192.168.137.202,50111,1191135187,0,368,133,0.734531,357,21,0.944444,454151,3874,0.991542,6.778,9.360,142.561,51.523,175934.983,1500.761,11,12,1,6,4,2,5,8,1,29,1,1,1,4,314,112,9,0,11,1,0,0,0,0,0,0,0,0,0,0,
6,192.168.137.202,50111,31.13.76.8,443,4146700309,0,133,368,0.265469,21,357,0.055556,3874,454151,0.008458,6.778,9.360,51.523,142.561,1500.761,175934.983,112,9,0,11,1,0,0,0,0,0,0,0,0,0,0,11,12,1,6,4,2,5,8,1,29,1,1,1,4,314,
6,31.13.76.14,443,192.168.137.202,49583,598886799,0,330,171,0.658683,325,11,0.967262,453402,866,0.998094,10.102,13.382,186.568,96.676,256334.417,489.600,5,4,1,0,1,1,0,1,1,9,1,1,0,1,338,160,9,0,2,0,0,0,0,0,0,0,0,0,0,0,
6,192.168.137.202,49583,31.13.76.14,443,888712063,0,171,330,0.341317,11,325,0.032738,866,453402,0.001906,10.102,13.382,96.676,186.568,489.600,256334.417,160,9,0,2,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,1,0,1,1,9,1,1,0,1,338,
